reward_detail_dicts,reward_detail_dict
,"{'delay': [True, -0.25, 1.0], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0], 'queue_length': [True, -0.25, 1], 'wait_time': [True, -0.25, 0.0], 'duration': [False, 1, 0], 'partial_duration': [False, 1, 0], 'num_of_vehicles_left': [True, 1, 0], 'duration_of_vehicles_left': [True, 1, 0], 'num_of_vehicles_in_system': [False, 0, 1], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.8473863106685616], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0.0], 'queue_length': [True, -0.25, 0], 'wait_time': [True, -0.25, 0.0], 'duration': [False, 1, 0.016666666666666666], 'partial_duration': [False, 1, 0.016666666666666666], 'num_of_vehicles_left': [True, 1, 0], 'duration_of_vehicles_left': [True, 1, 0], 'num_of_vehicles_in_system': [False, 0, 1], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.6668649974173166], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0.0], 'queue_length': [True, -0.25, 0], 'wait_time': [True, -0.25, 0.0], 'duration': [False, 1, 0.03333333333333333], 'partial_duration': [False, 1, 0.03333333333333333], 'num_of_vehicles_left': [True, 1, 0], 'duration_of_vehicles_left': [True, 1, 0], 'num_of_vehicles_in_system': [False, 0, 1], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.8804834312217102], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 1.0], 'queue_length': [True, -0.25, 0], 'wait_time': [True, -0.25, 0.0], 'duration': [False, 1, 0.05], 'partial_duration': [False, 1, 0.05], 'num_of_vehicles_left': [True, 1, 0], 'duration_of_vehicles_left': [True, 1, 0], 'num_of_vehicles_in_system': [False, 0, 2], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.9788322341985768], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0.0], 'queue_length': [True, -0.25, 0], 'wait_time': [True, -0.25, 0.0], 'duration': [False, 1, 0.06666666666666667], 'partial_duration': [False, 1, 0.06666666666666667], 'num_of_vehicles_left': [True, 1, 1], 'duration_of_vehicles_left': [True, 1, 0.016666666666666666], 'num_of_vehicles_in_system': [False, 0, 2], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.9878776964312884], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0.5], 'queue_length': [True, -0.25, 0], 'wait_time': [True, -0.25, 0.0], 'duration': [False, 1, 0.08333333333333333], 'partial_duration': [False, 1, 0.08333333333333333], 'num_of_vehicles_left': [True, 1, 0], 'duration_of_vehicles_left': [True, 1, 0], 'num_of_vehicles_in_system': [False, 0, 3], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.9979689860826125], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0.0], 'queue_length': [True, -0.25, 1], 'wait_time': [True, -0.25, 0.016666666666666666], 'duration': [False, 1, 0.1], 'partial_duration': [False, 1, 0.1], 'num_of_vehicles_left': [True, 1, 1], 'duration_of_vehicles_left': [True, 1, 0.016666666666666666], 'num_of_vehicles_in_system': [False, 0, 3], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.9991756791708557], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0.0], 'queue_length': [True, -0.25, 1], 'wait_time': [True, -0.25, 0.03333333333333333], 'duration': [False, 1, 0.11666666666666667], 'partial_duration': [False, 1, 0.11666666666666667], 'num_of_vehicles_left': [True, 1, 0], 'duration_of_vehicles_left': [True, 1, 0], 'num_of_vehicles_in_system': [False, 0, 3], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.9994959562373518], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0.0], 'queue_length': [True, -0.25, 1], 'wait_time': [True, -0.25, 0.05], 'duration': [False, 1, 0.13333333333333333], 'partial_duration': [False, 1, 0.13333333333333333], 'num_of_vehicles_left': [True, 1, 0], 'duration_of_vehicles_left': [True, 1, 0], 'num_of_vehicles_in_system': [False, 0, 3], 'num_of_vehicles_at_entering': [False, 0, 1]}"
,"{'delay': [True, -0.25, 0.9998246576811648], 'flickering': [True, -5, 0], 'emergency': [False, 0.1667, 0.0], 'queue_length': [True, -0.25, 1], 'wait_time': [True, -0.25, 0.06666666666666667], 'duration': [False, 1, 0.15], 'partial_duration': [False, 1, 0.15], 'num_of_vehicles_left': [True, 1, 0], 'duration_of_vehicles_left': [True, 1, 0], 'num_of_vehicles_in_system': [False, 0, 3], 'num_of_vehicles_at_entering': [False, 0, 1]}"
